rsCollisions jsCollisions pjwCollisions elfCollisions bkdrCollisions sdbmCollisions djbCollisions dekCollisions apCollisions 
1400000 220 235 4946 4946 234 232 227 363 277
1410000 222 239 5018 5018 238 236 231 366 281
1420000 228 241 5080 5080 241 237 234 372 285
1430000 233 241 5168 5168 243 240 240 381 289
1440000 236 244 5228 5228 247 244 241 382 293
1450000 236 250 5301 5301 250 249 243 389 298
1460000 236 253 5373 5373 252 254 246 395 306
1470000 239 258 5453 5453 257 260 251 402 310
1480000 244 264 5533 5533 261 264 253 407 314
1490000 247 264 5594 5594 266 268 257 414 317
1500000 249 270 5661 5661 266 269 262 420 319
1510000 254 275 5729 5729 270 271 267 423 324
1520000 256 277 5812 5812 273 273 273 430 325
1530000 259 283 5890 5890 281 276 276 436 330
1540000 261 286 5961 5961 285 277 279 441 333
1550000 265 290 6040 6040 289 280 282 446 334
1560000 267 291 6124 6124 293 282 288 453 338
1570000 269 294 6195 6195 298 291 294 457 340
1580000 271 302 6285 6285 301 295 296 463 342
1590000 275 306 6386 6386 308 301 298 470 345
1600000 275 308 6473 6473 312 306 302 472 350
1610000 278 313 6569 6569 315 310 306 482 352
1620000 282 315 6628 6628 318 311 310 490 358
1630000 289 319 6709 6709 322 315 311 493 361
1640000 295 325 6807 6807 326 316 315 500 363
1650000 298 330 6881 6881 329 319 320 507 366
1660000 298 336 6974 6974 331 324 322 514 368
1670000 305 339 7051 7051 335 326 325 522 370
1680000 309 342 7139 7139 340 328 331 529 374
1690000 314 342 7226 7226 344 331 335 539 378
1700000 318 346 7316 7316 347 335 341 543 382
1710000 318 352 7400 7400 351 339 343 546 393
1720000 321 354 7490 7490 359 345 344 558 395
1730000 327 358 7573 7573 362 349 346 566 398
1740000 329 366 7656 7656 367 355 350 567 403
1750000 336 374 7746 7746 376 362 355 574 406
1760000 340 379 7834 7834 380 366 359 582 407
1770000 345 383 7924 7924 388 368 364 588 411
1780000 349 386 8005 8005 394 373 370 596 416
1790000 357 394 8088 8088 396 376 374 600 425
1800000 361 398 8185 8185 402 379 379 606 426
1810000 366 401 8285 8285 404 382 381 611 431
1820000 370 406 8375 8375 410 383 384 615 435
1830000 374 407 8461 8461 415 391 387 623 441
1840000 382 411 8555 8555 419 400 391 627 445
1850000 385 414 8662 8662 425 407 394 637 453
1860000 392 416 8762 8762 428 413 398 643 461
1870000 395 420 8849 8849 432 415 402 649 468
1880000 401 429 8922 8922 437 419 408 655 474
1890000 404 434 9007 9007 441 423 408 661 480
1900000 407 439 9083 9083 446 426 414 666 482
1910000 408 445 9163 9163 451 434 418 672 483
1920000 415 448 9260 9260 453 443 422 676 487
1930000 420 448 9346 9346 455 446 425 684 488
1940000 421 454 9426 9426 459 451 432 695 489
1950000 423 460 9513 9513 460 454 438 703 491
1960000 426 462 9575 9575 466 459 441 714 496
1970000 430 468 9650 9650 469 462 445 723 499
1980000 434 474 9731 9731 474 468 451 732 504
1990000 436 478 9822 9822 478 473 459 744 509
2000000 439 483 9915 9915 483 475 463 753 515
